Order Number,Pe_F1,Date_1,HR,T,Pe_F2,Date,HR,T,GRAV_MON,GRAV_PROM,end
D9108226,170.027,2022/12/26 12:46:15,31.1,22.4,169.978,2022/12/27 16:53:50,33.5,20.8,170.003,1.261,
D9108227,170.535,2022/12/26 12:47:01,31.1,22.4,170.530,2022/12/27 16:56:40,33.5,20.8,170.533,0.992,
D9109403,165.280,2022/12/26 12:47:47,31.1,22.4,165.299,2022/12/27 16:59:30,33.5,20.8,165.290,1.467,
D9109404,167.226,2022/12/26 12:48:33,31.1,22.4,167.268,2022/12/27 17:02:20,33.5,20.8,167.247,1.472,
D9099287,172.074,2022/12/26 12:49:19,31.1,22.4,172.077,2022/12/27 17:05:10,33.5,20.8,172.076,3.412,
D9104500,169.167,2022/12/26 12:50:05,31.1,22.4,169.192,2022/12/27 17:08:00,33.5,20.8,169.180,2.180,
D9104501,167.605,2022/12/26 12:50:51,31.1,22.4,167.572,2022/12/27 17:10:50,33.5,20.8,167.589,1.514,
D9108278,169.474,2022/12/26 12:51:37,31.1,22.4,169.495,2022/12/27 17:13:40,33.5,20.8,169.485,0.504,
D9108279,169.480,2022/12/26 12:52:23,31.1,22.4,169.463,2022/12/27 17:16:30,33.5,20.8,169.472,0.379,
D9108239,169.932,2022/12/26 12:53:09,31.1,22.4,169.915,2022/12/27 17:19:20,33.5,20.8,169.924,0.678,
D9108240,169.853,2022/12/26 12:53:55,31.1,22.4,169.864,2022/12/27 17:22:10,33.5,20.8,169.859,1.013,
D9108252,168.295,2022/12/26 12:54:41,31.1,22.4,168.321,2022/12/27 17:25:00,33.5,20.8,168.308,0.328,
D9108253,167.958,2022/12/26 12:55:27,31.1,22.4,167.977,2022/12/27 17:27:50,33.5,20.8,167.968,0.457,
D9108265,170.041,2022/12/26 12:56:13,31.1,22.4,169.998,2022/12/27 17:30:40,33.5,20.8,170.020,0.404,
D9108266,167.810,2022/12/26 12:56:59,31.1,22.4,167.809,2022/12/27 17:33:30,33.5,20.8,167.810,0.340,
D9104474,167.687,2022/12/26 12:57:45,31.1,22.4,167.697,2022/12/27 17:36:20,33.5,20.8,167.692,1.409,
D9104475,170.893,2022/12/26 12:58:31,31.1,22.4,170.846,2022/12/27 17:39:10,33.5,20.8,170.870,0.376,
D9104513,164.990,2022/12/26 12:59:17,31.1,22.4,164.998,2022/12/27 17:42:00,33.5,20.8,164.994,0.254,
D9104514,166.145,2022/12/26 13:00:03,31.1,22.4,166.142,2022/12/27 17:44:50,33.5,20.8,166.144,0.227,
QC 168,99.996,2022/12/26 13:00:49,30,22.2,99.996,2022/12/27 17:47:40,36,20.9,99.996,99.996,
,,,,,,,,,,,
